"","P1","R1","F1","probability 1","prob ratio 1","P0","R0","F0","probability 0","prob ratio 0","seed"
"1",0.666666666666667,0.285714285714286,0.4,0.35,1.9047619047619,0.705882352941177,0.923076923076923,0.8,0.65,1.08597285067873,41616
"2",0.571428571428571,0.19047619047619,0.285714285714286,0.35,1.63265306122449,0.679245283018868,0.923076923076923,0.782608695652174,0.65,1.04499274310595,1
"3",0.6,0.136363636363636,0.222222222222222,0.366666666666667,1.63636363636364,0.654545454545455,0.947368421052632,0.774193548387097,0.633333333333333,1.03349282296651,2
"4",0.538461538461538,0.28,0.368421052631579,0.416666666666667,1.29230769230769,0.617021276595745,0.828571428571429,0.707317073170732,0.583333333333333,1.05775075987842,3
"5",0.846153846153846,0.423076923076923,0.564102564102564,0.433333333333333,1.95266272189349,0.680851063829787,0.941176470588235,0.790123456790124,0.566666666666667,1.20150187734668,4
"6",0.363636363636364,0.2,0.258064516129032,0.333333333333333,1.09090909090909,0.673469387755102,0.825,0.741573033707865,0.666666666666667,1.01020408163265,5
"7",0.692307692307692,0.346153846153846,0.461538461538462,0.433333333333333,1.59763313609467,0.638297872340426,0.882352941176471,0.740740740740741,0.566666666666667,1.12640801001252,6
"8",0.444444444444444,0.2,0.275862068965517,0.333333333333333,1.33333333333333,0.686274509803922,0.875,0.769230769230769,0.666666666666667,1.02941176470588,7
"9",0.307692307692308,0.181818181818182,0.228571428571429,0.366666666666667,0.839160839160839,0.617021276595745,0.763157894736842,0.682352941176471,0.633333333333333,0.974244120940649,8
"10",0.404255319148936,0.826086956521739,0.542857142857143,0.383333333333333,1.05457909343201,0.692307692307692,0.243243243243243,0.36,0.616666666666667,1.12266112266112,9
"11",0.666666666666667,0.173913043478261,0.275862068965517,0.383333333333333,1.73913043478261,0.648148148148148,0.945945945945946,0.769230769230769,0.616666666666667,1.05105105105105,10
"12",0.625,0.217391304347826,0.32258064516129,0.383333333333333,1.6304347826087,0.653846153846154,0.918918918918919,0.764044943820225,0.616666666666667,1.06029106029106,11
"13",0.636363636363636,0.291666666666667,0.4,0.4,1.59090909090909,0.653061224489796,0.888888888888889,0.752941176470588,0.6,1.08843537414966,12
"14",0.714285714285714,0.384615384615385,0.5,0.433333333333333,1.64835164835165,0.652173913043478,0.882352941176471,0.75,0.566666666666667,1.15089514066496,13
"15",0.6,0.260869565217391,0.363636363636364,0.383333333333333,1.56521739130435,0.66,0.891891891891892,0.758620689655172,0.616666666666667,1.07027027027027,14
"16",0.6,0.260869565217391,0.363636363636364,0.383333333333333,1.56521739130435,0.66,0.891891891891892,0.758620689655172,0.616666666666667,1.07027027027027,15
"17",0.666666666666667,0.37037037037037,0.476190476190476,0.45,1.48148148148148,0.622222222222222,0.848484848484849,0.717948717948718,0.55,1.13131313131313,16
"18",0.625,0.25,0.357142857142857,0.333333333333333,1.875,0.711538461538462,0.925,0.804347826086957,0.666666666666667,1.06730769230769,17
"19",0.666666666666667,0.37037037037037,0.476190476190476,0.45,1.48148148148148,0.622222222222222,0.848484848484849,0.717948717948718,0.55,1.13131313131313,18
"20",0.666666666666667,0.24,0.352941176470588,0.416666666666667,1.6,0.627450980392157,0.914285714285714,0.744186046511628,0.583333333333333,1.07563025210084,19
"21",0.75,0.428571428571429,0.545454545454545,0.466666666666667,1.60714285714286,0.636363636363636,0.875,0.736842105263158,0.533333333333333,1.19318181818182,20
"22",0.833333333333333,0.178571428571429,0.294117647058824,0.466666666666667,1.78571428571429,0.574074074074074,0.96875,0.72093023255814,0.533333333333333,1.07638888888889,21
"23",0.666666666666667,0.214285714285714,0.324324324324324,0.466666666666667,1.42857142857143,0.568627450980392,0.90625,0.698795180722891,0.533333333333333,1.06617647058824,22
"24",0.615384615384615,0.96969696969697,0.752941176470588,0.55,1.11888111888112,0.875,0.259259259259259,0.4,0.45,1.94444444444444,23
"25",0.533333333333333,0.32,0.4,0.416666666666667,1.28,0.622222222222222,0.8,0.7,0.583333333333333,1.06666666666667,24
"26",0.75,0.25,0.375,0.4,1.875,0.653846153846154,0.944444444444444,0.772727272727273,0.6,1.08974358974359,25
"27",0.461538461538462,0.222222222222222,0.3,0.45,1.02564102564103,0.553191489361702,0.787878787878788,0.65,0.55,1.00580270793037,26
"28",0.7,0.318181818181818,0.4375,0.366666666666667,1.90909090909091,0.7,0.921052631578947,0.795454545454545,0.633333333333333,1.10526315789474,27
"29",0.666666666666667,0.210526315789474,0.32,0.316666666666667,2.10526315789474,0.722222222222222,0.951219512195122,0.821052631578947,0.683333333333333,1.05691056910569,28
"30",0.571428571428571,0.166666666666667,0.258064516129032,0.4,1.42857142857143,0.622641509433962,0.916666666666667,0.741573033707865,0.6,1.0377358490566,29
"31",0.454545454545455,0.961538461538462,0.617283950617284,0.433333333333333,1.04895104895105,0.8,0.117647058823529,0.205128205128205,0.566666666666667,1.41176470588235,30
"32",0.416666666666667,0.208333333333333,0.277777777777778,0.4,1.04166666666667,0.604166666666667,0.805555555555556,0.69047619047619,0.6,1.00694444444444,31
"33",0.625,0.192307692307692,0.294117647058824,0.433333333333333,1.44230769230769,0.596153846153846,0.911764705882353,0.720930232558139,0.566666666666667,1.05203619909502,32
"34",0.5,0.217391304347826,0.303030303030303,0.383333333333333,1.30434782608696,0.64,0.864864864864865,0.735632183908046,0.616666666666667,1.03783783783784,33
"35",0.666666666666667,0.16,0.258064516129032,0.416666666666667,1.6,0.611111111111111,0.942857142857143,0.741573033707865,0.583333333333333,1.04761904761905,34
