"","P1","R1","F1","probability 1","prob ratio 1","P0","R0","F0","probability 0","prob ratio 0","seed"
"1",0.4375,0.333333333333333,0.378378378378378,0.35,1.25,0.681818181818182,0.769230769230769,0.72289156626506,0.65,1.04895104895105,41616
"2",0.5,0.238095238095238,0.32258064516129,0.35,1.42857142857143,0.68,0.871794871794872,0.764044943820225,0.65,1.04615384615385,1
"3",0.5,0.227272727272727,0.3125,0.366666666666667,1.36363636363636,0.66,0.868421052631579,0.75,0.633333333333333,1.04210526315789,2
"4",0.476190476190476,0.4,0.434782608695652,0.416666666666667,1.14285714285714,0.615384615384615,0.685714285714286,0.648648648648649,0.583333333333333,1.05494505494505,3
"5",0.8,0.461538461538462,0.585365853658537,0.433333333333333,1.84615384615385,0.688888888888889,0.911764705882353,0.784810126582278,0.566666666666667,1.2156862745098,4
"6",0.555555555555556,0.5,0.526315789473684,0.333333333333333,1.66666666666667,0.761904761904762,0.8,0.780487804878049,0.666666666666667,1.14285714285714,5
"7",0.588235294117647,0.384615384615385,0.465116279069767,0.433333333333333,1.35746606334842,0.627906976744186,0.794117647058823,0.701298701298701,0.566666666666667,1.10807113543092,6
"8",0.428571428571429,0.3,0.352941176470588,0.333333333333333,1.28571428571429,0.695652173913043,0.8,0.744186046511628,0.666666666666667,1.04347826086957,7
"9",0.5,0.454545454545455,0.476190476190476,0.366666666666667,1.36363636363636,0.7,0.736842105263158,0.717948717948718,0.633333333333333,1.10526315789474,8
"10",0.666666666666667,0.608695652173913,0.636363636363636,0.383333333333333,1.73913043478261,0.769230769230769,0.810810810810811,0.789473684210526,0.616666666666667,1.24740124740125,9
"11",0.5,0.347826086956522,0.41025641025641,0.383333333333333,1.30434782608696,0.659090909090909,0.783783783783784,0.716049382716049,0.616666666666667,1.06879606879607,10
"12",0.666666666666667,0.347826086956522,0.457142857142857,0.383333333333333,1.73913043478261,0.6875,0.891891891891892,0.776470588235294,0.616666666666667,1.11486486486486,11
"13",0.55,0.458333333333333,0.5,0.4,1.375,0.675,0.75,0.710526315789474,0.6,1.125,12
"14",0.666666666666667,0.538461538461538,0.595744680851064,0.433333333333333,1.53846153846154,0.692307692307692,0.794117647058823,0.73972602739726,0.566666666666667,1.22171945701357,13
"15",0.5,0.478260869565217,0.488888888888889,0.383333333333333,1.30434782608696,0.684210526315789,0.702702702702703,0.693333333333333,0.616666666666667,1.10953058321479,14
"16",0.473684210526316,0.391304347826087,0.428571428571429,0.383333333333333,1.23569794050343,0.658536585365854,0.72972972972973,0.692307692307692,0.616666666666667,1.06789716545814,15
"17",0.769230769230769,0.37037037037037,0.5,0.45,1.70940170940171,0.638297872340426,0.909090909090909,0.75,0.55,1.1605415860735,16
"18",0.476190476190476,0.5,0.48780487804878,0.333333333333333,1.42857142857143,0.743589743589744,0.725,0.734177215189873,0.666666666666667,1.11538461538462,17
"19",0.6,0.222222222222222,0.324324324324324,0.45,1.33333333333333,0.58,0.878787878787879,0.698795180722891,0.55,1.05454545454545,18
"20",0.555555555555556,0.2,0.294117647058824,0.416666666666667,1.33333333333333,0.607843137254902,0.885714285714286,0.720930232558139,0.583333333333333,1.04201680672269,19
"21",0.625,0.357142857142857,0.454545454545455,0.466666666666667,1.33928571428571,0.590909090909091,0.8125,0.68421052631579,0.533333333333333,1.10795454545455,20
"22",0.666666666666667,0.428571428571429,0.521739130434783,0.466666666666667,1.42857142857143,0.619047619047619,0.8125,0.702702702702703,0.533333333333333,1.16071428571429,21
"23",0.75,0.321428571428571,0.45,0.466666666666667,1.60714285714286,0.604166666666667,0.90625,0.725,0.533333333333333,1.1328125,22
"24",0.8,0.363636363636364,0.5,0.55,1.45454545454545,0.533333333333333,0.888888888888889,0.666666666666667,0.45,1.18518518518519,23
"25",0.777777777777778,0.28,0.411764705882353,0.416666666666667,1.86666666666667,0.647058823529412,0.942857142857143,0.767441860465116,0.583333333333333,1.10924369747899,24
"26",0.615384615384615,0.333333333333333,0.432432432432432,0.4,1.53846153846154,0.659574468085106,0.861111111111111,0.746987951807229,0.6,1.09929078014184,25
"27",0.533333333333333,0.296296296296296,0.380952380952381,0.45,1.18518518518519,0.577777777777778,0.787878787878788,0.666666666666667,0.55,1.05050505050505,26
"28",0.727272727272727,0.363636363636364,0.484848484848485,0.366666666666667,1.98347107438017,0.714285714285714,0.921052631578947,0.804597701149425,0.633333333333333,1.12781954887218,27
"29",0.636363636363636,0.368421052631579,0.466666666666667,0.316666666666667,2.00956937799043,0.755102040816326,0.902439024390244,0.822222222222222,0.683333333333333,1.10502737680438,28
"30",0.545454545454545,0.25,0.342857142857143,0.4,1.36363636363636,0.63265306122449,0.861111111111111,0.729411764705882,0.6,1.05442176870748,29
"31",0.777777777777778,0.538461538461538,0.636363636363636,0.433333333333333,1.79487179487179,0.714285714285714,0.882352941176471,0.789473684210526,0.566666666666667,1.26050420168067,30
"32",0.529411764705882,0.375,0.439024390243902,0.4,1.32352941176471,0.651162790697674,0.777777777777778,0.708860759493671,0.6,1.08527131782946,31
"33",0.615384615384615,0.307692307692308,0.41025641025641,0.433333333333333,1.42011834319527,0.617021276595745,0.852941176470588,0.716049382716049,0.566666666666667,1.08886107634543,32
"34",0.464285714285714,0.565217391304348,0.509803921568627,0.383333333333333,1.2111801242236,0.6875,0.594594594594595,0.63768115942029,0.616666666666667,1.11486486486486,33
"35",0.56,0.56,0.56,0.416666666666667,1.344,0.685714285714286,0.685714285714286,0.685714285714286,0.583333333333333,1.17551020408163,34
